500		0.29	0.04
1000	0.29	0.11
1500	0.30	0.21
2000	0.30	0.41
2500	0.33	0.68
3000	0.32	1.00
3500	0.40	1.48
4000	0.49	1.81
4500	0.52	2.62
5000	0.52	2.78
5500	0.64	3.91
6000	0.65	4.21
6500	0.82	5.34
7000	0.79	6.34
7500	1.02	7.19
8000	0.95	8.58
8500	1.18	10.71
9000	1.16	10.01
9500	1.43	13.77
10000	1.36	12.66
